Titulo;Anio;Genero;Duracion;Reparto
Carro Forte;2002;Curta-Metragem;11 minutos;Camilo Bevilacqua,Erlon Cherque,Thelmo Fernandes,Mario Diamante
Renascida das Trevas;2018;Terror;76 minutos;Alexa Maris,Barbara Crampton,Bob Bancroft,Chaz Bono,Kayleigh Gilbert,Michael Paré,Monte Markham,Rae Dawn Chong,Julian Richards
Caçadora de Demônios;2015;Drama, Terror;8 episódios;Bill Irwin,Drew Moerlein,Lamman Rucker,Luna Lauren Velez,Mena Suvari,Paulina Singer,Slate Holmgren,Zachary Booth,Matt Lambert
O Último Passageiro;2013;Ação, Suspense;96 minutos;David Schofield,Dougray Scott,Iddo Goldberg,Joshua Kaynama,Kara Tointon,Lindsay Duncan,Samuel Geker-Kawle,Omid Nooshin
Força de Elite - 1ª Temporada;2012;Ação, Drama, Policial;4 episódios;Bruno Lamberg,Camila Molina,Eder Santos,Fabio Nacho,Junior Nannetti,Luis Massa,Marcio Louzada ,Rodrigo Rebello,Anderson Corrêa
Fuga de Ravenshead;2019;Aventura;81 minutos;Addison Charles,Amelia Joy,Brendan Lee,Harrison Joel,Tate Ivan,Joel Steege
Cúmplices de um Resgate;2018;Comédia, Romance;88 minutos;Arath de la Torre,Jesus Zavala,Marina de Tavira,Luis Eduardo Reyes
Prisioneiros do Poder;2008;Ficção Científica, Aventura;119 minutos;Aleksey Serebryakov,Andrey Merzlikin,Pyotr Fyodorov,Sergey Garmash,Vasiliy Stepanov,Yuliya Snigir,Yuriy Kutsenko,Fyodor Bondarchuk
Sou Louco por Você;2012;Romance, Drama;118 minutos;Álvaro Cervantes,Clara Lago,Diego Martín,Ismael Martínez,Lucho Fernández,María Valverde,Mario Casas,Nerea Camacho,Pere Brasó,Fernando González Molina
A Vítima Perfeita;2009;Suspense, Drama;107 minutos;Graeme Blundell,Guy Pearce,Kate Bell,Khan Chittenden,Miranda Otto,Rebecca Gibney,Ruth Bradley,Sam Neill,Simone North
Vampira - A Caçadora;2016;Terror, Ação;90 minutos;Alex Benjamin,Aureen Almario,Bo! Campbell,Gemma Padua Calderon,Hilton Jamal Day,I-Li Chang Brice,Jason Bustos,Kevin Camia,Matthew Abaya
A Fantástica Fábrica de Chocolate 1971;1971;Aventura, Clássico, Comédia;99 minutos;Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,Mel Stuart
Elegia de um Crime;2018;Documentários;92 minutos;Não Disponível,Cristiano Burlan
Ciao Roma;2013;Ficção Científica;11 minutos;Ana Bona,Giuliano Batista,Uyara Torrente,Guilherme Biglia
Paris Pigalle - O Amor é uma Festa;2018;Comédia, Drama;118 minutos;Camille Razat,Elisa Bachir Bey,Gilles Lellouche,Guillaume Canet,Inge van Bruystegem,Jean-Louis Barcelona,Matthieu Dessertine,Michel Fau,Xavier Beauvois,Cédric Anger
É Doce!;2019;Animação, Comédia;77 minutos;Detlef Bierstedt,Elke Heidenreich,Jella Haase,Leon Seidel,Louis Hofmann,Ute Von Münchow-Pohl
Paixão Bandida;2015;Curta-Metragem, Comédia;13 minutos;Ciça Guirado,Poka Marques,Oficinas Kinopus
14 Bis - Ao Vivo;2007;Shows, MPB;93 minutos;14 Bis,Sergio Bittencourt
Pro Dia Nascer Feliz;2005;Documentários;88 minutos;Não Disponível,João Jardim
Dennis, o Pimentinha - 1ª Temporada;1986;Animação, Infantil;65 episódios;Brennan Thicke,Brian George,Jeannie Elias,Louise Valance,Marilyn Lightstone,Phil Hartman,Riva Spier,Sharon Noble,Michael Maliani
P.O.L.I.C.I.A - 3ª Temporada;2018;Documentários, Ação, Policial;13 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Caixa Preta - 1ª Temporada;2017;Ficção, Suspense;4 episódios;Álvaro Rosa Costa,Bebeto Alves,Clemente Viscaino,Leandro Lefa,Leonardo Machado,Nelson Diniz,Thiago Luiz Machado,Vinícius Cáurio,Jaime Lerner
Minha Mãe é uma Peça 2 - O Filme;2016;Comédia;89 minutos;Alexandra Richter,Herson Capri,Mariana Xavier,Patricya Travassos,Paulo Gustavo,Rodrigo Pandolfo,Samantha Schmütz,Suely Franco,César Rodrigues
Condado Macabro;2015;Terror, Suspense;113 minutos;Beto Brito,Bia Gallo,Fernando de Paula,Francisco Gaspar,Larissa Queiroz,Leonardo Miggiorin,Paulo Vespúcio,Rafael Raposo,André de Campos Mello,Marcos DeBrito
Maligna;2017;Suspense, Drama, Ficção Científica;78 minutos;Aral Gribble,David Linski,Emilio Palame,Harvey Q. Johnson,Jolene Andersen,Richard Neil,Savannah Liles,Alex Haughey,Brian Vidal
Zumbilândia - Atire Duas Vezes;2019;Ação, Comédia, Terror;99 minutos;Abigail Breslin,Avan Jogia,Bill Murray,Emma Stone,Jesse Eisenberg,Rosario Dawson,Woody Harrelson,Zoey Deutch,Ruben Fleischer
O Padrasto;2009;Terror, Suspense;102 minutos;Amber Heard,Dylan Walsh,Penn Badgley,Sela Ward,Sherry Stringfield,Nelson McCormick
O Livro de Rute - Uma Jornada de Amor;2009;Fé e Espiritualidade, Drama;90 minutos;Carman,Dan Haggerty,DJ Perry,Eleese Lester,Kera O'Bryon,Ray Nikolaison,Rebecca Holden,Sherry Morris,Stephen Patrick Walker
Guerra Fria;2016;Ação, Drama, Policial;109 minutos;Aarif Rahman,Aaron Kwok,Andrew Dasz,Charlie Yeung,Eddie Peng,Matt Totty,Temur Mamisashvili,Tony Ka Fai Leung,Yili Ma,Yun-Fat Chow,Kim-Ching Luk,Lok Man Leung
Provas e Trapaças;2008;Comédia, Policial;93 minutos;Bruce Willis,Josh Pais,Kathryn Morris,Luke Grimes,Melonie Diaz,Michael Rapaport,Mischa Barton,Reece Thompson,Brett Simon
Nos Embalos da Disco;2008;Comédia;103 minutos;Abbes Zahmani,Annie Cordy,Emmanuelle Béart,Franck Dubosc,François-Xavier Demaison,Gérard Depardieu,Isabelle Nanty,Samuel Le Bihan,Fabien Onteniente
Zeca Baleiro - Vô Imbolá;2005;Shows, MPB, Pop Nacional, Rock Nacional;59 minutos;Zé Ramalho,Zeca Baleiro,Zeca Baleiro
A Fantástica Fábrica de Chocolate;2005;Aventura, Comédia;114 minutos;David Kelly,Freddie Highmore,Helena Bonham Carter,James Fox,Johnny Depp,Jordan Fry,Noah Taylor,Ty Dickson,Tim Burton
Bruxinha Catarina;2015;Animação, Educacional, Infantil;36 minutos;Não Disponível,Junior Rios,Paulo Roberto Maluna
O Elefante na Sala de Estar;2019;Drama;94 minutos;Clare Will,Craig Callo,David Z Ward,Dean LeCrone,Megan J. Martine,Niko Vitacco,Rupinder Sidhu,Scott Huard,Allen R. Freeman
Sandman;2010;Animação, Infantil;82 minutos;Bruno Renne,Ilja Richter,Julia Richter,Marc Wehe,Thomas Danneberg,Valeria Eisenbart,Volker Lechtenbrink,Helmut Fischer,Jesper Moller,Sinem Sagkagolu
Uma Perigosa Atração;2012;Romance, Suspense;101 minutos;Antonio Pantojas,Dolores Pedro,Enrique Julia,Ivan Camilo,Kisha Tikina Burgos,Maite Bonilla,Marilu Acosta,Rosie Berrido,Ari Maniel Cruz
Homem-Aranha 2;2004;Ação, Aventura;127 minutos;Alfred Molina,Donna Murphy,Dylan Baker,J.K. Simmons,James Franco,Kirsten Dunst,Rosemary Harris,Tobey Maguire,Sam Raimi
O Sombra - 1ª Temporada;1940;Clássico, Ação, Aventura, Suspense;7 episódios;Chuck Hamilton,Edward Peil Sr.,Frank LaRue,John Paul Jones,Robert Fiske,Roger Moore,Veda Ann Borg,Victor Jory,James W. Horne
Pilates Mat34 - 1ª Temporada;2017;Esporte;39 episódios;Gabriela Andrezzo,Felipe Muñoz
Amar, Beber e Cantar;2014;Drama, Aventura;107 minutos;Caroline Sihol,Hippolyte Girardot,Sabine Azéma,Alain Renais
Haruo Ohara;2010;Curta-Metragem;16 minutos;Marco Hisatomi,Rodrigo Grota
Desaparecidos - 1ª Temporada;2015;Documentário, Drama, Reality;13 episódios;Alan Andreto,Alexandre De Paiva,Anderson Cavalcante,Caroline Portugal,Danilo Rodrigues,Fabiana Dias,Juan Victor Gonçalvez,Juliana Vieira,Maristela Teixeira,Renato Praxedes,Ubirajara Do Nascimento,Viviane Fernandez,Wiritien Wolltz,Anderson Jesus
Silk - 2ª Temporada;2012;Drama, Policial;6 episódios;Adam Rothenberg,Anna Burnett,Charlene McKenna,David Dawson,David Wilmot,Jerome Flynn,Matthew Macfadyen,MyAnna Buring,Richard Warlow
Elis Regina - Na Batucada da Vida;2007;Shows, MPB;61 minutos;Elis Regina,Roberto de Oliveira
Um Elefante Sentado Quieto;2018;Drama;233 minutos;Jing Guo,Miaomiao He,Uvin Wang,Xiangrong Dong,Yu Zhang,Yuchang Peng,Zhao-Yan Guo-Zhang,Zi Xi,Bo Hu
Cláudio Zoli - 25 Anos - Ao Vivo - Diamantes;2009;Shows, MPB;85 minutos;Cláudio Zoli,André Wainer
Midinho, o Pequeno Missionário - Antigo Testamento;2009;Animação, Fé e Espiritualidade, Infantil;15 episódios;Elizabeth Pelegrine,Elza Gonçalves,João Boy,Jussane Pavan,Marcelo Souza,Paulo Cavalcante,Pedro Leite,Regis Furlan,Dario Bentancour Sena,R. R. Soares
Mensageiros do Mal;2004;Suspense, Drama;86 minutos;Darrell Larson,Erik Jensen,Frankie Faison,John Cariani,Michael Higgins,Michele Hicks,Peter McRobbie,Ronald Guttman,Philip Farha
Aterrorizada;2010;Terror, Suspense;88 minutos;Amber Heard,Danielle Panabaker,Jared Harris,Lyndsy Fonseca,Mamie Gummer,Mika Boorem,Sali Sayler,Sean Cook,John Carpenter
O Pequeno Vampiro;2017;Animação, Aventura;82 minutos;Alice Krige,Amy Saville,Jim Carter,Joseph Kloska,Julia Rhodes,Phoebe Givron-Taylor,Rasmus Hardiker,Tim Pigott-Smith,Karsten Kiilerich,Richard Claus
Turma do Folclore - 1ª Temporada;2016;Animação, Infantil;2 episódios;Maria Fernanda Luvizotto,Rafael Matinata Béber
A Garota Ideal;2007;Comédia, Drama, Romance;106 minutos;Emily Mortimer,Karen Robinson,Kelli Garner,Nicky Guadagni,Patricia Clarkson,Paul Schneider,Ryan Gosling,Tommy Chang,Craig Gillespie
Jacarelvis - Volume 2;2017;Infantil, Animação, Música;31 minutos;Não Disponível,André Padua,Tiago Saad
F.R.E.D.I - A Robô;2018;Aventura, Ficção Científica;89 minutos;Angus Macfadyen,Candace Cameron Bure,Casimere Jollette,Kelly Hu,Lucius Hoyos,Reid Miller,Tyler Christopher,Sean Olson
Curvas da Vida;2012;Drama, Romance;111 minutos;Amy Adams,Carla Fisher,Chelcie Ross,Clifton Guterman,Clint Eastwood,Ed Lauter,Justin Timberlake,Raymond Anthony Thomas,Robert Lorenz
Megalopolis;1973;Documentário, Curta-Metragem;10 minutos;Paulo César Peréio,Leon Hirszman
André e Felipe - Acelera e Pisa - ao Vivo;2015;Shows, Gospel;89 minutos;André,Felipe,Hugo Pessoa
A Praia do Medo;2005;Comédia, Ficção Científica, Música, Suspense, Terror;76 minutos;Ann Crawley,Brian Bell,Christopher Hines,Claire Bronson,Cynthia Evans,Jonathan Michael Green,Mary Kraft,Shana Coley,Jay Wade Edwards
O Triunfo da Vontade;1935;Clássico, Documentários;108 minutos;Adolf Hitler,Hans Frank,Heinrich Himmler,Hermann Göring,Joseph Goebbels,Martin Bormann,Otto Dietrich,Rudolf Hess,Leni Riefenstahl
Tim's Vermeer;2013;Documentários;79 minutos;Colin Blakemore,David Hockney,Martin Mull,Philip Steadman,Raymond Joseph Teller,Tim Jenison,Raymond Joseph Teller
O Quinto Passageiro;2018;Ficção Científica, Suspense;89 minutos;Armin Shimerman,David Lim,Doug Jones,Herman Wilkins,Manu Intiraymi,Marina Sirtis,Morgan Lariah,Tim Russ,Scotty Baker
Yasmin Santos - Ao Vivo em São Paulo;2019;Shows, Sertanejo;76 minutos;Yasmin Santos,Fernando Catatau
Faroeste Caboclo;2013;Drama, Romance;105 minutos;Fabrício Boliveira,Felipe Abib,Isis Valverde,René Sampaio
Fantasma do Espaço;1953;Ficção Científica, Terror;72 minutos;Bert Arnold,Burt Wenland,Harry Landers,Lela Nelson,Sandy Sanders,Steve Acton,Ted Cooper,Tom Daly,W.Lee Wilder
RC na Veia - Dudu Braga - Ao Vivo;2018;Shows, Rock Nacional;66 minutos;Dudu Braga,João Pedro Maglio
Chaplin;2011;Animação, Comédia;34 episódios;Não Disponível,Cyril Adam
Double the Fist - 2ª Temporada;2005;Ação;8 episódios;Bryan Moses,Craig Anderson,Doug Bayne,Hollie Andrew,Craig Anderson,Doug Bayne,Tony Walters
Vilanova Artigas - O Arquiteto e a Luz;2015;Documentários;93 minutos;Não Disponível,Laura Artigas,Pedro Gorski
Starfish - Uma História de Amor Incondicional;2016;Biografia, Drama;94 minutos;Daisy Moore,David Carr,Joanne Froggatt,Katie Pattinson,Michele Dotrice,Phoebe Nicholls,Simon Bamford,Tom Riley,Bill Clark
Freaky - No Corpo de um Assassino;2020;Comédia, Suspense, Terror;102 minutos;Alonzo Ward,Celeste O'Connor,Dana Drori,Emily Holder,Kathryn Newton,Katie Finneran,Kelly Lamor Wilson,Misha Osherovich,Mitchell Hoog,Nicholas Stargel,Uriah Shelton,Vince Vaughn,Christopher Landon
Wallander - 1ª Temporada;2008;Policial, Drama;3 episódios;Barnaby Kay,David Wagner,Jeany Spark,Kenneth Branagh,Sadie Shimmin,Sarah Smart,Tom Beard,Tom Hiddleston,Benjamin Caron,Niall MacCormick,Philip Martin (IV)
CasaNova de Fellini;1976;Clássico, Biografia, Drama;153 minutos;Carmen Scarpitta,Cicely Browne,Clara Algranti,Daniel Emilfork,Donald Sutherland,Dudley Sutton,Harold Innocent,Tina Aumont,Federico Fellini
Dublê de Anjo;2006;Aventura, Drama, Fantasia;117 minutos;Aiden Lithgow,Andrew Roussouw,Catinca Untaru,Justine Waddell,Kim Uylenbroek,Lee Pace,Ronald France,Sean Gilder,Tarsem Singh
Conspiração Criminosa;2018;Ação, Suspense;120 minutos;Columbus Short,Eugene Cordero,Jemma Dallender,Lane Garrison,Laz Alonso,Mario Van Peebles,Ryan Guzman,William Fichtner,Mario Van Peebles
Truman;2015;Comédia, Drama;108 minutos;Alex Brendemühl,Dolores Fonzi,Eduard Fernández,Javier Cámara,Javier Gutiérrez,José Luis Gómez,Ricardo Darín,Cesc Gay
O Informante;2019;Ação, Drama, Policial;112 minutos;Diane Guerrero,Emory Cohen,John Cenatiempo,Liam Hemsworth,Mike Moh,Nickola Shreli,Suraj Sharma,Zlatko Buric,Malik Bader
Era Uma Vez nos Tempos da Ditadura;2018;Documentário, Curta-Metragem;15 minutos;Não Disponível,Max Andrade Gleiser,Monique Aaparecida Dos Santos Rangel
Adoniran Barbosa - Se Assoprar Posso Acender de Novo;2016;Shows, Documentários, Samba / Pagode;45 minutos;Adoniran Barbosa,Criolo,Fabiana Cozza,Fernanda Takai,Gero Camilo,Kiko Zambianchi,Ney Matogrosso,Simoninha,Pedro Serrano
O Príncipe do Deserto;2011;Aventura, Drama;130 minutos;Antonio Banderas,Corey Johnson,Eriq Ebouaney,Freida Pinto,Liya Kebede,Mark Strong,Riz Ahmed,Tahar Rahim,Jean-Jacques Annaud
Matrimônio - Amor e Fidelidade - O Que Destrói um Casal;2015;Fé e Espiritualidade;50 minutos;Prof. Felipe Aquino,Carlos Eduardo da Silva
O Agente da U.N.C.L.E.;2015;Ação, Aventura;116 minutos;Alicia Vikander,Armie Hammer,Christian Berkel,Elizabeth Debicki,Henry Cavill,Hugh Grant,Jared Harris,Luca Calvani,Guy Ritchie
Roupa Nova - Roupa Acústico;2004;Shows, MPB;127 minutos;Roupa Nova,Rodrigo Carelli
Chris Brown - Welcome to My Life;2017;Documentários, Musical;79 minutos;Jamie Foxx,Jennifer Lopez,Justin Bieber,Mary J. Blige,Mike Tyson,Rita Ora,Usher Raymond,Andrew Sandler
Mistérios - Céu e Inferno;2015;Fé e Espiritualidade, Documentário;29 minutos;Felipe Ohno,Márcia Cobêro,Norberto Gaviolle,Leandro Rocha
Horror Em Amityville;2005;Terror;89 minutos;Brendan Donaldson,Chloë Grace Moretz,Isabel Conner,Jesse James,Jimmy Bennett,Melissa George,Philip Baker Hall,Rachel Nichols,Ryan Reynolds,Andrew Douglas
Os Ilusionautas;2012;Animação, Infantil;81 minutos;Dan Green,Emilio Treviño,Jesse Conde,Julio Morín,Marc Thompson,Mildred Barrera,Moisés Iván Mora,Moisés Suárez,Eduardo Schuldt
Oscar no Oásis - Volume 4;2011;Animação, Infantil;19 episódios;Disponível, Não,David Garcia
Janela da Alma;2001;Documentários;72 minutos;Agnès Varda,Arnaldo Godoy,Evgen Bavcar,Hanna Schygulla,José Saramago,Raimunda da Conceição Filha,Walter Lima Jr.,Wim Wenders,João Jardim,Walter Carvalho
ID: A - Identidade Anônima;2011;Suspense;104 minutos;Arnaud Binard,Carsten Bjørnlund,Flemming Enevold,Jens Jørn Spottag,John Buijsman,Marie Louise Wille,Rogier Philipoom,Tuva Novotny,Christian E. Christiansen
Nosferatu;1922;Clássico, Fantasia, Terror;91 minutos;Alexander Granach,Georg H. Schnell,Greta Schröder,Gustav Botz,Gustav von Wangenheim,John Gottowt,Max Schreck,Ruth Landshoff,F.W. Murnau
Inusitado;2018;Drama;89 minutos;Brian White,David Banner,Dorien Wilson,Kandi Burruss,Karen Abercrombie,Karrueche Tran,Robin Givens,Romeo Miller,Josh Webber
Tudo por Justiça;2014;Drama, Policial;116 minutos;Carl Ciarfalio,Casey Affleck,Christian Bale,Dendrie Taylor,Nancy Mosser,Sam Shepard,Woody Harrelson,Zoe Saldana,Scott Cooper
Shaka - Surf ao Extremo;2018;Documentários, Esporte;80 minutos;Damien Castera,Eddie Rothman,Gery Lopez,Guillaume Néry,Kepa Acero,Koa Rothman,Mathieu Crepel,Victor Daviet,Morgan Le Faucheur
De Tanga e Sarongue;1952;Clássico, Aventura, Comédia, Fantasia;90 minutos;Bing Crosby,Bob Hope,Dorothy Lamour,Leon Askin,Murvyn Vye,Peter Coe,Ralph Moody,Hal Walker
Foliar Brasil Doc - 1ª Temporada;2019;Documentários, Independente;13 episódios;Não Disponível,Carolina Paiva
My Little Pony - Dancing in the Clouds;2004;Animação, Infantil;19 minutos;Adrienne Carter,Chiara Zanni,Janyse Jaud,Lenore Zann,Saffron Henderson,Venus Terzo,Davis Doi
Novidades no Amor;2009;Comédia, Romance;94 minutos;Andrew Cherry,Catherine Zeta-Jones,John Schneider,Justin Bartha,Kate Jennings Grant,Kelly Gould,Lynn Whitfield,Rob Kerkovich,Bart Freundlich
Batman - Mistério da Mulher Morcego;2003;Animação, Aventura;74 minutos;Disponível, Não,Curt Geda,Tim Maltby
Altitude;2017;Ação, Suspense;87 minutos;Chelsea Edmundson,Chuck Liddell,Denise Richards,Dolph Lundgren,Greer Grammer,John Posey,Jonathan Lipnicki,Victoria Atkin,Alex Merkin
Extratos;2019;Curta-Metragem, Documentário;8 minutos;Helena Ignez,Rogério Sganzerla,Sinai Sganzerla
Cidade de Deus - 10 Anos Depois;2013;Documentários;68 minutos;Alice Braga,Darlan Cunha,Renato de Souza,Cavi Borges,Luciano Vidigal
Dr. Fantástico ou Como Aprendi a Parar de Me Preocupar e Amar a Bomba;1964;Drama, Comédia;94 minutos;George C. Scott,James Earl Jones,Keenan Wynn,Peter Bull,Peter Sellers,Slim Pickens,Sterling Hayden,Tracy Reed,Stanley Kubrick
Agentes Vanguard;2020;Ação, Comédia;107 minutos;Jackie Chan,Lun Ai,Miya Muqi,Ruohan Xu,Yang Yang,Zhengting Zhu,Stanley Tong
Visita ao Filho;2013;Drama, Curta-Metragem;24 minutos;Manoel Osdemi,Tarzia Firmino,Frederico Benevides
Metal Hurlant Chronicles - Série Completa;2012;Ficção Científica, Ação;12 episódios;Darren Shahlavi,Dominique Pinon,James Marsters,Karl E. Landler,Lygie Duvivier,Michael Jai White,Nathalie Boyer,Scott Adkins,Guillaume Lubrano
Alexandre Peixe - Peixe Ao Vivo em Salvador;2008;Shows, Axé;84 minutos;Alexandre Peixe,Durval Lelys,Jorge Barcelos,Larissa Luz,Matheus,Alexandre Ktenas,João Elias,Jomar Freitas,Rodrigo Mello
Terror no Halloween;2018;Terror, Suspense;79 minutos;Annie Read,Caleb Thomas,Eric Roberts,JT Neal,Mcabe Gregg,Sarah Lancaster,Todd Tucker
Jornada dos Chakras - 1ª Temporada;2017;Esporte;6 episódios;Dani Linhares,Felipe Muñoz
Ronal - O Bárbaro;2011;Animação, Aventura, Comédia;85 minutos;Anders Juul,Brian Lykke,Hadi Ka-Koush,Lærke Winther Andersen,Lars Bom,Lars Mikkelsen,Peter Aude,Kresten Vestbjerg Andersen,Thorbjørn Christoffersen
MIB - Homens de Preto 3;2012;Comédia, Ação, Aventura;106 minutos;Alice Eve,Bill Hader,Emma Thompson,Josh Brolin,Lady Gaga,Michael Stuhlbarg,Tommy Lee Jones,Will Smith,Barry Sonnenfeld
Demônios da Garoa - Vem Cantar Comigo;2012;Shows, Samba / Pagode;69 minutos;Demônios da Garoa,Fabio Ponte,JR Lamana,Ricardinho Rosa
Kiko Zambianchi - Luau MTV;2002;Shows, Rock Nacional;50 minutos;Kiko Zambianchi,Rodrigo Pomárico,Romi Atarashi
Green Day - Awesome As F**K;2011;Shows, Rock Internacional;80 minutos;Billie Joe Armstrong,Jason Freese,Jason White,Jeff Matika,Mike Dirnt,Tre Cool,Bill Berg-Hillinger,Chris Dugan
2019 O Ano da Extinção;2009;Ação, Ficção Científica;97 minutos;Allan Todd,Ben Siemer,Damien Garvey,Gabriella Di Labio,Harriet Minto-Day,Jay Laga'aia,Peter Welman,Sahaj Dumpleton,Michael Spierig
A Vida ao Lado;2006;Curta-Metragem, Drama;12 minutos;Larissa Salgado,Leonardo Medeiros,Nívia Helen,Gustavo Galvão
Spartacus;1960;Clássico, Aventura, Biografia;190 minutos;Charles Laughton,Jean Simmons,John Gavin,John Ireland,Kirk Douglas,Laurence Olivier,Peter Ustinov,Tony Curtis,Stanley Kubrick
O Diário de Mika - 1ª Temporada;2015;Animação, Infantil;13 episódios;Carlos Poney,Caroline Rocha,Lavinia Aisar,Yako Sideratos,Elizabeth Mendes
Joe e Jack - 1ª Temporada;2012;Animação, Infantil;13 episódios;Bruno Marçal,Laíra Campos,Leticia Celini,Marilza Batista,Marli Bortoletto,Rosa Barcellos,Silvio Girardi,Jorge Barcellos
Bruno;2009;Comédia;81 minutos;Gustaf Hammarsten,Harrison Ford,Josh Meyers,Sacha Baron Cohen,Snoop Dogg,Larry Charles
LEGO DC - Batman - Assunto de Família;2019;Animação, Infantil;79 minutos;Cam Clarke,Jake Green,Ralph Garman,Steve Blum,Troy Baker,Will Friedle,Zach Callison,Matt Peters
Meteoro e Seus Amigos - 1ª Temporada;2006;Infantil, Animação;52 episódios;Cameron Ansell,Mitchell Eisner,Rosa Laborde,David Beatty
Super Onze - O Filme;2010;Animação, Infantil;90 minutos;Hiroshi Nojima,Hiroyuki Yoshino,Junko Takeuchi,Mamoru Miyano,Rie Kugimiya,Katsuhito Akiyama
Um Amor para Recordar;2002;Drama, Romance;101 minutos;Al Thompson,Clayne Crawford,Daryl Hannah,Lauren German,Mandy Moore,Paz de la Huerta,Peter Coyote,Shane West,Adam Shankman
O Quarto Secreto;2018;Suspense, Ficção Científica, Terror;108 minutos;Abbey Lee,Carla Gugino,Ciarán Hinds,Dylan Baker,Matthew Beard,Sebastian Gutierrez
